Dimensiune(bytes),Tip,Timp(s),Viteza(MB/s)
4096,Secvential,0.0000,1758.78
4096,Aleator,0.0000,1968.58
16384,Secvential,0.0000,1726.05
16384,Aleator,0.0000,1841.59
65536,Secvential,0.0000,1641.69
65536,Aleator,0.0000,1840.56
262144,Secvential,0.0001,1779.66
262144,Aleator,0.0002,1627.41
1048576,Secvential,0.0006,1783.30
1048576,Aleator,0.0007,1518.54
4194304,Secvential,0.0023,1750.62
4194304,Aleator,0.0034,1190.44
16777216,Secvential,0.0093,1727.06
16777216,Aleator,0.0169,946.36
67108864,Secvential,0.0372,1721.18
67108864,Aleator,0.0676,947.16
268435456,Secvential,0.1483,1725.98
268435456,Aleator,0.2697,949.30
536870912,Secvential,0.2971,1723.52
536870912,Aleator,0.5401,948.03
1073741824,Secvential,0.5903,1734.64
1073741824,Aleator,1.0840,944.65
2147483648,Secvential,2.2549,908.25
2147483648,Aleator,2.7492,744.94
